taxon	trnK	matR	matK	contains-tRNA-Leu-(trnL)-and-trnL-trnF-intergenic-spacer	rps16	trnT-trnL-intergenic-spacer	trnT-trnL-intergenic-spacer.1	trnC-ycf6-intergenic-spacer	18S-ribosomal-RNA	unknown	rbcL	ndhF	PepC	psbA-trnH-intergenic-spacer	3-UFGT	chalcone-synthase	dihydroflavonol-4-reductase	flavanone-3-hydroxylase	
Jacaranda sparrei				FJ870040							AF102647	AF102631							
Jacaranda copaia			JQ626519								JQ626146			JN661798					
Jacaranda arborea				FJ870039							FJ870008	FJ887866							
Adenocalymma cymbalum				FJ870010								DQ222528	DQ222650						
Adenocalymma moringifolium				FJ870011								DQ222613	DQ222774						
Callichlamys latifolia			JQ586991								JQ590796	DQ222567							
Rhigozum obovatum				EF105080							AM234922	EF105020							
Parmentiera cereifera				FJ870050					L49291			FJ887871							
Stizophyllum perforatum				FJ870057								DQ222639	DQ222810						
Phyllarthron antongiliense						AY500401	AY500420					AY500441							
Tynanthus panurensis				FJ870064								DQ222644	DQ222817						
Incarvillea emodi				AY695872						AY695849	JQ933368								
Incarvillea zhongdianensis				FJ870038						AY695859		FJ887865							
Stereospermum nematocarpum				EF105085							JQ933491	EF105025							
Stereospermum euphorioides						AY500409	AY500429					AY500453							
Tabebuia capitata				EF105107							JQ625850	EF105045							
Tabebuia serratifolia				EF105105							JQ626306	EF105043							
Xylophragma myrianthum				FJ870065								DQ222648	DQ222822						
Pleonotoma jasminifolia				FJ870053								DQ222625	DQ222794						
Macrocatalpa punctata				DQ532487	DQ532490							FJ887868							
Lundia cordata				FJ870041								DQ222590	DQ222741						
Dolichandra quadrivalvis				FJ870027								FJ887858	DQ222765						
Podranea ricasoliana				AY695867							AF102653	DQ222628							
Bignonia callistegioides							FJ870020					FJ887854	DQ222708						
Pyrostegia venusta					JN686525						JQ933460	DQ222633	DQ222805						
Markhamia platycalyx				FJ870045		AY500406				AY702557		AY500448							
Arrabidaea chica			JQ586983								JQ590785	DQ222542	DQ222671						
Arrabidaea patellifera			JQ586986								JQ590788	DQ222552	DQ222687						
Amphitecna latifolia			JQ586979	EF175740							JQ590781	EF104997							
Amphitecna apiculata						AY500411	AY500431				AF102640	AY500456							
Godmania aesculifolia			JQ587016	EF105068							JQ590817	EF105010							
Martinella obovata				EF175741							L36444	L36402	DQ222762						
Phyllarthron articulatum				EF105079		AY500398	AY500417					EF105019							
Incarvillea sinensis															GQ865592	GU587723	GU587729	GU587741	
Tabebuia palustris			JQ587054	EF105101							JQ590858	EF105039							
Fridericia pubescens				EF175742							AF102641	DQ222556	DQ222691						
Crescentia alata			JQ586998	FJ870025							JQ590800	FJ887857							
Dolichandrone spathacea		AY289668		FJ870029					AY289643		AY289683	FJ887859							
Ophiocolea floribunda				EF105075		AY500395	AY500414				AF102650	AF102634							
Chilopsis linearis				FJ870024	DQ532492					AY178657	JN796935	FJ887856							
Radermachera frondosa				FJ870055		AY500407	AY500427				AF102654	AF102638							
Tabebuia ochracea			JQ587051	EF105100	JN686527						JQ590856	EF105038							
Tabebuia rosea			JQ587055	EF105102							JQ590859	EF105040		GQ982378					
Tabebuia guayacan			JQ587037	EF105094							JQ590844	EF105033		GQ982377					
Crescentia portoricensis				EF105060		AY500412	AY500432				AF102643	AY500457							
Campsis grandiflora			GQ434140								AF190429			GQ435166	GQ865596	GU587722	GU587732		
Incarvillea younghusbandii				AY695884						AY695861					GQ865593	GU587720	GU587731	GU587739	
Incarvillea arguta				FJ870036						AY695848		FJ887864			GQ865594	GU587719	GU587727		
Incarvillea lutea				AY695876						AY695853					GQ865591	GU587725	GU587730	GU587736	
Incarvillea delavayi				AY695883						AY695860					GQ865590	GU587724	GU587728	GU587740	
Tabebuia chrysotricha				EF105092				JX496781		JX497729		EF105032		JX497420					
Cybistax antisyphilitica				EF105061				JX496767		JX497715		EF105003		JX497406					
Catalpa fargesii		GU351174		DQ532488	DQ532491					AY486300		DQ411411							
Bignonia aequinoctialis			JQ587007	FJ870018	JN686520						JQ590807	DQ222577	DQ222719						
Spathodea campanulata			HM446746	EF105083		AY500408	AY500428				FJ976171	EF105023		HM447003					
Catalpa speciosa			HE967373	AJ608599	AJ609197					AY486305	HE963393	DQ411407		HE966550					
Catalpa bignonioides			HE967370						AF107579	AY178637	HE963390	DQ411416		HE966547					
Kigelia africana	AF051988		JF270837	EF105072		AY500405	AY500425			AY178638	JF265490	AF102632							
Tabebuia impetiginosa			JQ587042	EF105097				JX496680		JX497594	JQ590849	EF105035		JX497204					
Tecomaria capensis			HM850767	AY008827	JN686529					AY695862	JF265623	FJ887874			GQ865597	GU587721	GU587733		
Campsis radicans	AF531775		GQ434139	AY695865	JN686519					DQ515201	GQ436508	AF130144		GQ435165					
Eccremocarpus scaber	HQ384523			FJ870030	HQ385165						AF102646	AF102630							
Tecoma stans	HQ384522			FJ870059	HQ385164					AY178636	AF102655	AF130145							
Jacaranda mimosifolia	AJ429328	AF520145		AJ430914	JN686522						HQ384888	JN686638							
Bignonia capreolata	HQ384518			FJ870021	HQ385160						HQ384884	DQ222566	DQ222706						
Tabebuia heterophylla	HQ384521			EF105096	HQ385163	AY500410	AY500430				L36451	L36416		HM447007					
Oroxylum indicum	HQ384520		JN407110	HQ412941	HQ385162					JN407439	JN407262	AF102635		GQ435463					
