Mastixia euonymoides										JF321157	JF308674	JF308650	JF321069	JF298832			
Mastixia pentandra									AY260016	JF321156	JF308673		JF321068	JF298831			
Cornus volkensii		AY530919							AF297542	JF321148	AY526240	AY530927	EU373588	EU373565			
Cornus sanguinea	FJ395681	DQ340517									JN894343	FJ395589			EU439928		
Nyssa shweliensis			EU734466	EU734484	EU734537	EU734501	EU734520				JQ280868	JQ280836					
Nyssa javanica			EU734468	EU734486	EU734540	EU734504	EU734522				JQ280873	JQ280843					
Nyssa wenshanensis			EU734464	EU734482	EU734535	EU734499	EU734518				JQ280859	JQ280827					
Nyssa yunnanensis			EU734470	EU734488	EU734541	EU734506	EU734524				JQ280872	AF384106					
Nyssa shangszeensis			EU734457	EU734476	EU734530	EU734494	EU734512				JQ280863	JQ280831					
Mastixia caudatilimba									AY260015	JF321158	U96887	L11227	JF321070	JF298833			
Alangium salviifolium									JF321102	FJ610032	JF308672	JF308648	JF321066	JF298828			
Alangium kurzii									AY260007	FJ610041	HQ427284	AF384108	JF321064	JF298826			
Cornus hongkongensis		JQ910010							DQ340441	JF321137	DQ341342	DQ340447	EU373594	EU373572			
Cornus sessilis		AY530923							AF297537	JF321145	U96900	AY530928	EU373587	EU373564			
Cornus peruviana		DQ340512							DQ340438	JF321140	DQ340467	DQ340444	EU373580	EU373559			
Cornus oligophlebia		DQ340510							DQ340437	JF321136	DQ340464	DQ340443	EU373579	EU373558			
Nyssa ogeche									AF297545	JF321163	U96886	L01937	AJ236266	JF298837			
Alangium chinense									AY260009	JF321152	JF308671	L11209	JF321065	JF298827			
Alangium platanifolium									AF297544	FJ610035	U96880	JF308649	AF130221	JF298829			
Cornus disciflora		DQ343143							AY260011	JF321134	DQ341350	AY530929	EU373589	EU373566		EU447688	
Cornus nuttallii		DQ340538	FJ541997						DQ340440	JF321132	U96897	AF006833	EU373590	EU373568			
Cornus walteri		AY530916							AF297540	JF321141	AY526239	L11220	EU373577	EU373556		EU447716	
Swida controversa		AY530918				JN102153			AF297541	JF321139	U96893	AF190433	EU373582	EU373561		EU447709	
Cornus kousa						JN102143		GU001660	AF297533	JF321133		L14395	EU373591	EU373569		EU447682	
Cornus oblonga		AY530917							AF297539	JF321143	U96899	L11218	EU373576	EU373555		EU447719	
Cornus eydeana		AY243787						GU001658	AY248757	JF321146	AY243875	AY243874	EU373585	EU373562			
Cornus capitata		AY530915						GU001657	AY530924	JF321135	DQ341340	AY530926	EU373593	EU373571			
Cornus rugosa	EU749073	DQ340516	EU750451								DQ340471	EU676910					
Cornus chinensis		AY530922							AY530925	JF321144	U96892	L11214	EU373586	EU373563		EU447703	
Cornus officinalis		AY530921						GU001661	AF297536	JF321147		L11219	EU373584	AJ236229		EU447705	
Cornus unalaschkensis		DQ343142							AF297534	JF321151	DQ341336	EU373597	EU373596	EU373575	EU439929		
Cornus canadensis		AY530913				GQ244822			AF297530	JF321150	DQ341333	L11213	EU373595	EU373573	EU439931		
Nyssa sinensis			EU734459	EU734480	EU734534	EU734495	EU734516		JF321103	JF321162	JQ280856	JF308651	JF321073	JF298836			
Cornus suecica		DQ340531				GQ244825			AF297531	JF321149	DQ341334	AF421085	AF421042	EU373574			
Camptotheca acuminata			EU734454	EU734472	EU734526	EU734490	EU734508		AY260010	JF321159	JQ280882	JQ280850	JF321071	JF298834			
Cornus florida						AY254238		GU001665	AF297532			L11215	EU002215	EU002157	EU439926	EU447690	
Cornus mas		AY530920				AJ430866		GU001653	AF297535	JF321203	AY042573	L11216	EU373583	AJ235444	EU439934	EU447707	
Davidia involucrata				EU734471	EU734525	EU734489	EU734507		AY260013	JF321160	U96885	L11223	AJ236265	HM100288			
Nyssa sylvatica			EU734456	EU734474	EU734528	EU734492	EU734510		AY260018	JF321161	JQ280853	AF119178	JF321072	AJ235545			
Cornus sericea	EU749077	DQ343139	EU750455			GQ244824		GU001664	AY727930		EU749305	AY725857	AY725868	AY725918			
Cornus racemosa	EU749071	DQ343137	EU750449					GU001663	AF297538	JF321142	EU749300	DQ340445	EU373578	EU373557			
Cornus alternifolia	EU749069	DQ340526	EU750447					GU001652	DQ340439	JF321138	U96889	AF190432	EU373581	EU373560		EU447710	
