taxon	matK	rpoB	spo-9	Pvr1	Pvr1.1	Waxy	atpE	rpoc1	cox1	rps2	unknown	GGR	5-enolpyruvylshikimate-3-phosphate-synthase	F3H	OSM1	endochitinase	beta-1,3-glucanase	LEAFY	unknown.1	5S-rRNA	NIA	matK.1	rpi-vnt1-like-protein	S	S.1	psbE	CHS-E	hypothetical-protein	COSII_At1g20050	COSII_At1g50020-like-protein	COSII_At2g38020	COSII_At5g14320	COSII_At2g38020.1	rpl32	rps16-trnQ(UUG)-intergenic-spacer	rpl32.1	AT3-1	At1g14300-like-protein	NIA.1	rps16	P	At5g04590-like-protein	unknown.2	TBP1	atpB	trnH-psbA-intergenic-spacer;-may-contain-psbA	At3g24010-like-protein	At3g62940-like-protein	18S-ribosomal-RNA	rbcL	nepGS	osmotin	lfy	glo	rpoC1	S1-RNase	beta-amylase	beta-amylase.1	phyA	trnK(UUU)-rps16-intergenic-spacer	COSII_At1g13380	trnY	contains-promoter-and-5'-UTR	ANS	transposase	unknown.3	H6H	rps3	At1g44760-like-protein	COSII_At2g15890	COSII_At3g10920	putative-progesterone-5-beta-reductase	3-methylcrotonyl-CoA-carboxylase	trnL	flavonoid-3'-hydroxylase	unknown.4	bHLH1	RPB2	adh	unknown.5	contains-tRNA-Leu-(trnL)-and-trnL-trnF-intergenic-spacer	contains-tRNA-Leu-(trnL)-and-trnL-trnF-intergenic-spacer.1	rpl16	ITS1	chloroplast-glutamine-synthetase	bHLH2	ndhF	ITS2	rpl2	waxy	putative-Pto-like-serine/threonine-kinase	PMT	MPF1-like-protein	S.2	GBSSI	petN	psbB-psbH-intergenic-spacer	NAMT	rbcL.1	disease-resistance-protein-RGH4	TPS17	NADH-dehydrogenase-subunit-1	psbA	5.8S-ribosomal-RNA	PI	myb1	trnS(GCU)-trnG(UCC)-intergenic-spacer	26S-ribosomal-RNA	infA	trnT-trnL-intergenic-region	18S-ribosomal-RNA.1	trnL.1	ndhJ	LFY	S.3	unknown.6	16S-rRNA	WDR1	S.4	S.5	S1-RNase.1	MADS	MPF2-like	unknown.7	NtoDFR	
Brunfelsia macroloba																			JQ081206																																																																				JQ081155																									JQ081102														
Markea panamensis									JF966322																																																																														EU580884																									EU581026														
Cuatresia colombiana																			DQ314165																																																																												DQ309475																			DQ301518												
Coeloneurum ferrugineum																			AY206732																																																																				AY206742																									AY206724														
Lycium schweinfurthii																									HM195090																																																																						EF137790																				HM195085											
Lycium gilliesianum																																																																																															DQ124526															DQ124464		DQ124587														
Lycium horridum																																																																																															DQ124528															DQ124466		DQ124589														
Lycium intricatum																																																																																															EF137778															DQ124468		DQ124591														
Datura leichhardtii																			HQ658593																																																																				EU580874																									EU580983														
Henoonia myrtifolia																			AY206737																																																																				AY206747																									AY206761														
Cuscuta mexicana																			JN234816																																																																																KC013278									JN234792																		
Cuscuta umbellata										EU330251									HM748904																																																																																													EU288347														
Cuscuta carnosa																			JN234810																																																																																									JN234781				JN234800														
Cuscuta erosa																			EF194574																																																																																									JN234791				JN234804														
Cuscuta chapalana																			JN234811																																																																																									JN234785				JN234803														
Cuscuta bonafortunae																			JN234809																																																																																									JN234780				JN234799														
Cuscuta tasmanica																			EF194613																																																																																EU330271													EF194389														
Cuscuta costaricensis																			EF194582																																																																																									JN234788				EF194342														
Cuscuta angulata																			DQ924575																																																																																AM234967													EF152065														
Calystegia hederacea													EU526078						JQ062468																											JQ062448																																																																																
Dunalia spinosa																			DQ314188																																																																												DQ309495																			DQ301543												
Dunalia spathulata																			DQ314198																																																																												DQ309506																			DQ301554												
Dunalia obovata																			DQ314192																																																																												DQ309499																			DQ301547												
Seddera arabica																																													AY100802																																																						AY101011													AY101120														
Lycianthes amatitlanensis																			AY665842																																																																				DQ667548								AY665922																															
Lycianthes lycioides																																																		AF397087																																					U73797								AF397111																															
Lycianthes shanesii																																																		AF397088																																					DQ667578																									EU581021														
Lycianthes ciliolata																																																		AF397085																																					DQ667553																									EU581016														
Brugmansia sanguinea									JF966306																																																																														EU580867																									EU580966														
Hyoscyamus desertorum									JF966293																																																																														EU580889																									EU580996														
Hyoscyamus boveanus									JF966294																																																																														EU580888																									EU580995														
