taxon	trnS	trnH-psbA-intergenic-spacer	trnL	ndhJ	atp1	rps2	rbcL	matR	unknown	18S-ribosomal-RNA	RPC1	DRF	putative-CBF/DREB-transcription-factor	RPB2I	trnS-trnG-intergenic-spacer	rpL16	rpoB	contains-PsbA-(psbA),-psbA-trnH-intergenic-spacer-and-tRNA-His-(trnH)	matK	waxy	putative-UBC35/UBC13A	putative-Lhcb3	atpB-rbcL-intergenic-spacer	rbcL.1	rpoC1	RBP2I	RPB2	RPB2D	RPB2D.1	trnL-trnF-intergenic-spacer	RPC1.1	RPB2I.1	rpoB.1	28S-ribosomal-RNA	putative-uroporphyrinogen-decarboxylase	putative-eukaryotic-translation-initiation-factor-SUI1	unknown.1	unknown.2	COX3	phyA	trnT	putative-cytosolic-glutathione-reductase	trnS-trnG-intergenic-spacer.1	nad1	28S-ribosomal-RNA.1	trnT-trnL-intergenic-spacer	26S-ribosomal-RNA	RPB2I.2	RPB2I.3	RPB2I.4	ndhF	atpB	
Erica curvifolia																																						HQ858998															
Erica inflata																																						HQ859095															
Erica propinqua																																						HQ859220															
Erica tomentosa																																						HQ859299															
Erica rhodopis																																						HQ859243															
Erica denticulata																																						HQ859007															
Erica albens																																						HQ858897															
Erica cumuliflora																																						HQ858993															
Erica xeranthemifolia																																						HQ859340															
Erica vernicosa																																						HQ859326															
Erica subdivaricata																																						HQ859289															
Erica tradouwensis																																						HQ859301															
Erica glomiflora																																						HQ859068															
Erica dodii																																						HQ859015															
Erica tenuis																																						HQ859294															
Erica onusta																																						HQ859169															
Erica frigida																																						HQ859054															
Erica perlata																																						HQ859191															
Erica fontana																																						HQ859052															
Erica simii																																						HQ859270															
Erica corifolia																																						HQ858988															
Erica hottentotica																																						HQ859088															
Erica penduliflora																																						HQ859188															
Erica albescens																																						HQ858899															
Erica caffra																																						HQ858955															
Erica glandulipila																																						HQ859061															
Erica phacelanthera																																						HQ859198															
Erica argentea																																						HQ858916															
Erica whyteana																																						HQ859336															
Erica physophylla																																						HQ859201															
Erica lasciva																																						HQ859113															
Erica trichroma																																						HQ859305															
Erica placentiflora																																						HQ859205															
Erica campanularis																																						HQ858961															
Erica eugenea																																						HQ859033															
Erica parviporandra																																						HQ859179															
Erica ericoides																																						HQ859026															
Erica lehmannii																																						HQ859117															
Erica chamissonis																																						HQ858970															
Erica pubescens																																						HQ859223															
Erica odorata																																						HQ859167															
Erica schlechteri																																						HQ859259															
Erica glutinosa																																						HQ859070															
Erica chartacea																																						HQ858971															
Erica verecunda																																						HQ859325															
Erica conspicua																																						HQ858984															
Erica albertyniae																																						HQ858898															
Erica arachnocalyx																																						HQ858909															
Erica blandfordii																																						HQ858940															
Erica obliqua																																						HQ859163															
Erica oligantha																																						HQ859168															
Erica chiroptera																																						HQ858974															
Erica multumbellifera																																						HQ859151															
Erica pubigera																																						HQ859224															
Erica villosa																																						HQ859330															
Erica pectinifolia																																						HQ859186															
Erica ingeana																																						HQ859096															
Erica riparia																																						HQ859247															
Erica atherstonei																																						HQ858922															
Erica sparrmannii																																						HQ859276															
Erica stokoeanthus																																						HQ859284															
Erica podophylla																																						HQ859217															
Erica alopecurus																																						HQ858902															
Erica formosa																																						HQ859053															
Erica sonderiana																																						HQ859274															
Erica fimbriata																																						HQ859047															
Erica coarctata																																						HQ858980															
